pa, pp, ta, tp
the adult chases the friend .,the friend is chased by the adult .,the adult chases the friend .,the friend is chased by the adult .
the son kisses the parent .,the parent is kissed by the son .,the son kisses the parent .,the parent is kissed by the son .
the cousin eats the salad .,the salad is eaten by the cousin .,the cousin eats the salad .,the salad is eaten by the cousin .
the singer embraces the captain .,the captain is embraced by the singer .,the singer embraces the captain .,the captain is embraced by the singer .
the winner judges the brother .,the brother is judged by the winner .,the winner judges the brother .,the brother is judged by the winner .
the wife discovers the salad .,the salad is discovered by the wife .,the wife discovers the salad .,the salad is discovered by the wife .
the mother purchases the computer .,the computer is purchased by the mother .,the mother purchases the computer .,the computer is purchased by the mother .
the child carries the card .,the card is carried by the child .,the child carries the card .,the card is carried by the child .
the woman washes the partner .,the partner is washed by the woman .,the woman washes the partner .,the partner is washed by the woman .
the secretary punches the lady .,the lady is punched by the secretary .,the secretary punches the lady .,the lady is punched by the secretary .
the buddy discovers the manager .,the manager is discovered by the buddy .,the buddy discovers the manager .,the manager is discovered by the buddy .
the teacher eats the salad .,the salad is eaten by the teacher .,the teacher eats the salad .,the salad is eaten by the teacher .
a bishop wrapped a key .,a key was wrapped by a bishop .,a bishop wrapped a key .,a key was wrapped by a bishop .
a captain described a computer .,a computer was described by a captain .,a captain described a computer .,a computer was described by a captain .
a cousin punched a physician .,a physician was punched by a cousin .,a cousin punched a physician .,a physician was punched by a cousin .
a daughter asked an army .,an army was asked by a daughter .,a daughter asked an army .,an army was asked by a daughter .
an uncle understood an actor .,an actor was understood by an uncle .,an uncle understood an actor .,an actor was understood by an uncle .
a prince kissed a worker .,a worker was kissed by a prince .,a prince kissed a worker .,a worker was kissed by a prince .
a chief asked an administration .,an administration was asked by a chief .,a chief asked an administration .,an administration was asked by a chief .
a boy destroyed a chocolate .,a chocolate was destroyed by a boy .,a boy destroyed a chocolate .,a chocolate was destroyed by a boy .
a winner dragged a wife .,a wife was dragged by a winner .,a winner dragged a wife .,a wife was dragged by a winner .
an employee caught a coffee .,a coffee was caught by an employee .,an employee caught a coffee .,a coffee was caught by an employee .
the soldier washed the husband .,the husband was washed by the soldier .,the soldier washed the husband .,the husband was washed by the soldier .
the doctor carried the tea .,the tea was carried by the doctor .,the doctor carried the tea .,the tea was carried by the doctor .
the wife grabbed the candy .,the candy was grabbed by the wife .,the wife grabbed the candy .,the candy was grabbed by the wife .
the opponent kissed the student .,the student was kissed by the opponent .,the opponent kissed the student .,the student was kissed by the opponent .
the brother prepared the cheese .,the cheese was prepared by the brother .,the brother prepared the cheese .,the cheese was prepared by the brother .
the actor protected the worker .,the worker was protected by the actor .,the actor protected the worker .,the worker was protected by the actor .
the father forgot the coffee .,the coffee was forgotten by the father .,the father forgot the coffee .,the coffee was forgotten by the father .
the employee smelled the candy .,the candy was smelled by the employee .,the employee smelled the candy .,the candy was smelled by the employee .
the pilot killed the teacher .,the teacher was killed by the pilot .,the pilot killed the teacher .,the teacher was killed by the pilot .
the candidate broke the ball .,the ball was broken by the candidate .,the candidate broke the ball .,the ball was broken by the candidate .
a colonel beats a princess .,a princess is beaten by a colonel .,a colonel beats a princess .,a princess is beaten by a colonel .
a mayor forgets a tea .,a tea is forgotten by a mayor .,a mayor forgets a tea .,a tea is forgotten by a mayor .
a singer kisses an uncle .,an uncle is kissed by a singer .,a singer kisses an uncle .,an uncle is kissed by a singer .
a professor catches a candy .,a candy is caught by a professor .,a professor catches a candy .,a candy is caught by a professor .
a cop embraces a leader .,a leader is embraced by a cop .,a cop embraces a leader .,a leader is embraced by a cop .
an employer hurts an administration .,an administration is hurt by an employer .,an employer hurts an administration .,an administration is hurt by an employer .
a mayor leads a corporation .,a corporation is led by a mayor .,a mayor leads a corporation .,a corporation is led by a mayor .
a priest selects a coffee .,a coffee is selected by a priest .,a priest selects a coffee .,a coffee is selected by a priest .
a mayor leaves a pot .,a pot is left by a mayor .,a mayor leaves a pot .,a pot is left by a mayor .
a lady teaches a girl .,a girl is taught by a lady .,a lady teaches a girl .,a girl is taught by a lady .
a priest followed a band .,a band was followed by a priest .,a priest followed a band .,a band was followed by a priest .
a friend surprised a guy .,a guy was surprised by a friend .,a friend surprised a guy .,a guy was surprised by a friend .
a king led a company .,a company was led by a king .,a king led a company .,a company was led by a king .
a chief hurried a lawyer .,a lawyer was hurried by a chief .,a chief hurried a lawyer .,a lawyer was hurried by a chief .
a guy forgave a corporation .,a corporation was forgiven by a guy .,a guy forgave a corporation .,a corporation was forgiven by a guy .
an aunt punched an uncle .,an uncle was punched by an aunt .,an aunt punched an uncle .,an uncle was punched by an aunt .
a scientist protected a lady .,a lady was protected by a scientist .,a scientist protected a lady .,a lady was protected by a scientist .
a princess smelled an instrument .,an instrument was smelled by a princess .,a princess smelled an instrument .,an instrument was smelled by a princess .
an employer embraced a priest .,a priest was embraced by an employer .,an employer embraced a priest .,a priest was embraced by an employer .
a wife left a jacket .,a jacket was left by a wife .,a wife left a jacket .,a jacket was left by a wife .
an aunt leaves a telephone .,a telephone is left by an aunt .,an aunt leaves a telephone .,a telephone is left by an aunt .
a princess raises an attorney .,an attorney is raised by a princess .,a princess raises an attorney .,an attorney is raised by a princess .
a candidate removes a crystal .,a crystal is removed by a candidate .,a candidate removes a crystal .,a crystal is removed by a candidate .
a club helps a guest .,a guest is helped by a club .,a club helps a guest .,a guest is helped by a club .
a lady washes a winner .,a winner is washed by a lady .,a lady washes a winner .,a winner is washed by a lady .
a champion leaves a cup .,a cup is left by a champion .,a champion leaves a cup .,a cup is left by a champion .
a king leaves a bell .,a bell is left by a king .,a king leaves a bell .,a bell is left by a king .
a wife hurries an uncle .,an uncle is hurried by a wife .,a wife hurries an uncle .,an uncle is hurried by a wife .
an employee removes a button .,a button is removed by an employee .,an employee removes a button .,a button is removed by an employee .
a child uses a plate .,a plate is used by a child .,a child uses a plate .,a plate is used by a child .
the priest tastes the salad .,the salad is tasted by the priest .,the priest tastes the salad .,the salad is tasted by the priest .
the author collects the chocolate .,the chocolate is collected by the author .,the author collects the chocolate .,the chocolate is collected by the author .
the friend discovers the beer .,the beer is discovered by the friend .,the friend discovers the beer .,the beer is discovered by the friend .
the minister kisses the parent .,the parent is kissed by the minister .,the minister kisses the parent .,the parent is kissed by the minister .
the doctor kills the aunt .,the aunt is killed by the doctor .,the doctor kills the aunt .,the aunt is killed by the doctor .
the company helps the champion .,the champion is helped by the company .,the company helps the champion .,the champion is helped by the company .
the partner removes the hat .,the hat is removed by the partner .,the partner removes the hat .,the hat is removed by the partner .
the writer chases the reader .,the reader is chased by the writer .,the writer chases the reader .,the reader is chased by the writer .
the father bothers the daughter .,the daughter is bothered by the father .,the father bothers the daughter .,the daughter is bothered by the father .
the candidate beats the son .,the son is beaten by the candidate .,the candidate beats the son .,the son is beaten by the candidate .
a bishop drags a book .,a book is dragged by a bishop .,a bishop drags a book .,a book is dragged by a bishop .
a business helps a manager .,a manager is helped by a business .,a business helps a manager .,a manager is helped by a business .
a pilot embraces a child .,a child is embraced by a pilot .,a pilot embraces a child .,a child is embraced by a pilot .
a princess bothers a buddy .,a buddy is bothered by a princess .,a princess bothers a buddy .,a buddy is bothered by a princess .
a brother comforts an aunt .,an aunt is comforted by a brother .,a brother comforts an aunt .,an aunt is comforted by a brother .
a boy washes a mother .,a mother is washed by a boy .,a boy washes a mother .,a mother is washed by a boy .
a writer punches a man .,a man is punched by a writer .,a writer punches a man .,a man is punched by a writer .
a secretary prepares a candy .,a candy is prepared by a secretary .,a secretary prepares a candy .,a candy is prepared by a secretary .
a writer punches an aunt .,an aunt is punched by a writer .,a writer punches an aunt .,an aunt is punched by a writer .
an uncle leads a business .,a business is led by an uncle .,an uncle leads a business .,a business is led by an uncle .
the man discovered the tea .,the tea was discovered by the man .,the man discovered the tea .,the tea was discovered by the man .
the employer destroyed the card .,the card was destroyed by the employer .,the employer destroyed the card .,the card was destroyed by the employer .
the partner discovered the bottle .,the bottle was discovered by the partner .,the partner discovered the bottle .,the bottle was discovered by the partner .
the pilot grabbed the juice .,the juice was grabbed by the pilot .,the pilot grabbed the juice .,the juice was grabbed by the pilot .
the chief chased the band .,the band was chased by the chief .,the chief chased the band .,the band was chased by the chief .
the business helped the son .,the son was helped by the business .,the business helped the son .,the son was helped by the business .
the partner followed the corporation .,the corporation was followed by the partner .,the partner followed the corporation .,the corporation was followed by the partner .
the pilot taught the lady .,the lady was taught by the pilot .,the pilot taught the lady .,the lady was taught by the pilot .
the mayor hurried the guy .,the guy was hurried by the mayor .,the mayor hurried the guy .,the guy was hurried by the mayor .
the opponent described the beer .,the beer was described by the opponent .,the opponent described the beer .,the beer was described by the opponent .
a princess washed a bottle .,a bottle was washed by a princess .,a princess washed a bottle .,a bottle was washed by a princess .
a wife raised a cheese .,a cheese was raised by a wife .,a wife raised a cheese .,a cheese was raised by a wife .
a secretary dragged a flower .,a flower was dragged by a secretary .,a secretary dragged a flower .,a flower was dragged by a secretary .
a professor left a hat .,a hat was left by a professor .,a professor left a hat .,a hat was left by a professor .
a sheriff judged a company .,a company was judged by a sheriff .,a sheriff judged a company .,a company was judged by a sheriff .
an employer comforted a candidate .,a candidate was comforted by an employer .,an employer comforted a candidate .,a candidate was comforted by an employer .
a wife dragged a bag .,a bag was dragged by a wife .,a wife dragged a bag .,a bag was dragged by a wife .
a bishop left a cup .,a cup was left by a bishop .,a bishop left a cup .,a cup was left by a bishop .
a sheriff led an army .,an army was led by a sheriff .,a sheriff led an army .,an army was led by a sheriff .
an employee asked a pilot .,a pilot was asked by an employee .,an employee asked a pilot .,a pilot was asked by an employee .
the sheriff bothered the mayor .,the mayor was bothered by the sheriff .,the sheriff bothered the mayor .,the mayor was bothered by the sheriff .
the captain judged the lady .,the lady was judged by the captain .,the captain judged the lady .,the lady was judged by the captain .
the manager removed the coat .,the coat was removed by the manager .,the manager removed the coat .,the coat was removed by the manager .
the leader punched the priest .,the priest was punched by the leader .,the leader punched the priest .,the priest was punched by the leader .
the winner collected the card .,the card was collected by the winner .,the winner collected the card .,the card was collected by the winner .
the partner discovered the knife .,the knife was discovered by the partner .,the partner discovered the knife .,the knife was discovered by the partner .
the woman broke the telephone .,the telephone was broken by the woman .,the woman broke the telephone .,the telephone was broken by the woman .
the lawyer taught the attorney .,the attorney was taught by the lawyer .,the lawyer taught the attorney .,the attorney was taught by the lawyer .
the writer chased the soldier .,the soldier was chased by the writer .,the writer chased the soldier .,the soldier was chased by the writer .
the woman struck the prince .,the prince was struck by the woman .,the woman struck the prince .,the prince was struck by the woman .
an opponent judges a club .,a club is judged by an opponent .,an opponent judges a club .,a club is judged by an opponent .
a lady drags a bell .,a bell is dragged by a lady .,a lady drags a bell .,a bell is dragged by a lady .
a kid drinks a coffee .,a coffee is drunk by a kid .,a kid drinks a coffee .,a coffee is drunk by a kid .
a brother beats an opponent .,an opponent is beaten by a brother .,a brother beats an opponent .,an opponent is beaten by a brother .
a captain discovers a coffee .,a coffee is discovered by a captain .,a captain discovers a coffee .,a coffee is discovered by a captain .
a son protects a husband .,a husband is protected by a son .,a son protects a husband .,a husband is protected by a son .
a secretary uses a box .,a box is used by a secretary .,a secretary uses a box .,a box is used by a secretary .
a buddy bothers an employer .,an employer is bothered by a buddy .,a buddy bothers an employer .,an employer is bothered by a buddy .
a parent raises a lawyer .,a lawyer is raised by a parent .,a parent raises a lawyer .,a lawyer is raised by a parent .
a captain collects an instrument .,an instrument is collected by a captain .,a captain collects an instrument .,an instrument is collected by a captain .
the club helps the winner .,the winner is helped by the club .,the club helps the winner .,the winner is helped by the club .
the lady helps the candidate .,the candidate is helped by the lady .,the lady helps the candidate .,the candidate is helped by the lady .
the sheriff hurries the colonel .,the colonel is hurried by the sheriff .,the sheriff hurries the colonel .,the colonel is hurried by the sheriff .
the employee punches the adult .,the adult is punched by the employee .,the employee punches the adult .,the adult is punched by the employee .
the professor judges the attorney .,the attorney is judged by the professor .,the professor judges the attorney .,the attorney is judged by the professor .
the adult prepares the engine .,the engine is prepared by the adult .,the adult prepares the engine .,the engine is prepared by the adult .
the manager drags the lawyer .,the lawyer is dragged by the manager .,the manager drags the lawyer .,the lawyer is dragged by the manager .
the secretary protects the priest .,the priest is protected by the secretary .,the secretary protects the priest .,the priest is protected by the secretary .
the king asks the corporation .,the corporation is asked by the king .,the king asks the corporation .,the corporation is asked by the king .
the scientist accepts the book .,the book is accepted by the scientist .,the scientist accepts the book .,the book is accepted by the scientist .
a scientist prepared a button .,a button was prepared by a scientist .,a scientist prepared a button .,a button was prepared by a scientist .
a cop smelled a juice .,a juice was smelled by a cop .,a cop smelled a juice .,a juice was smelled by a cop .
a scientist tasted a pie .,a pie was tasted by a scientist .,a scientist tasted a pie .,a pie was tasted by a scientist .
a president forgot a beer .,a beer was forgotten by a president .,a president forgot a beer .,a beer was forgotten by a president .
a man discovered a manager .,a manager was discovered by a man .,a man discovered a manager .,a manager was discovered by a man .
an adult ate a candy .,a candy was eaten by an adult .,an adult ate a candy .,a candy was eaten by an adult .
a lawyer purchased a coffee .,a coffee was purchased by a lawyer .,a lawyer purchased a coffee .,a coffee was purchased by a lawyer .
a business used a jacket .,a jacket was used by a business .,a business used a jacket .,a jacket was used by a business .
a professor destroyed a coffee .,a coffee was destroyed by a professor .,a professor destroyed a coffee .,a coffee was destroyed by a professor .
a kid broke a motor .,a motor was broken by a kid .,a kid broke a motor .,a motor was broken by a kid .
the aunt destroyed the opponent .,the opponent was destroyed by the aunt .,the aunt destroyed the opponent .,the opponent was destroyed by the aunt .
the uncle punched the secretary .,the secretary was punched by the uncle .,the uncle punched the secretary .,the secretary was punched by the uncle .
the lady forgot the meal .,the meal was forgotten by the lady .,the lady forgot the meal .,the meal was forgotten by the lady .
the actress asked the wife .,the wife was asked by the actress .,the actress asked the wife .,the wife was asked by the actress .
the pilot wanted the chicken .,the chicken was wanted by the pilot .,the pilot wanted the chicken .,the chicken was wanted by the pilot .
the reader tasted the salad .,the salad was tasted by the reader .,the reader tasted the salad .,the salad was tasted by the reader .
the writer kissed the prince .,the prince was kissed by the writer .,the writer kissed the prince .,the prince was kissed by the writer .
the candidate grabbed the chocolate .,the chocolate was grabbed by the candidate .,the candidate grabbed the chocolate .,the chocolate was grabbed by the candidate .
the chief helped the teacher .,the teacher was helped by the chief .,the chief helped the teacher .,the teacher was helped by the chief .
the priest beat the husband .,the husband was beaten by the priest .,the priest beat the husband .,the husband was beaten by the priest .
a husband surprises an employer .,an employer is surprised by a husband .,a husband surprises an employer .,an employer is surprised by a husband .
an employee destroys a manager .,a manager is destroyed by an employee .,an employee destroys a manager .,a manager is destroyed by an employee .
an employee tastes a pie .,a pie is tasted by an employee .,an employee tastes a pie .,a pie is tasted by an employee .
an attorney chases a company .,a company is chased by an attorney .,an attorney chases a company .,a company is chased by an attorney .
an adult tastes a meal .,a meal is tasted by an adult .,an adult tastes a meal .,a meal is tasted by an adult .
a husband uses a card .,a card is used by a husband .,a husband uses a card .,a card is used by a husband .
a cop drags a parent .,a parent is dragged by a cop .,a cop drags a parent .,a parent is dragged by a cop .
an employer teaches a champion .,a champion is taught by an employer .,an employer teaches a champion .,a champion is taught by an employer .
a father forgets a coffee .,a coffee is forgotten by a father .,a father forgets a coffee .,a coffee is forgotten by a father .
a parent bothers a leader .,a leader is bothered by a parent .,a parent bothers a leader .,a leader is bothered by a parent .
a parent carried a winner .,a winner was carried by a parent .,a parent carried a winner .,a winner was carried by a parent .
a pilot described a winner .,a winner was described by a pilot .,a pilot described a winner .,a winner was described by a pilot .
a champion surprised a scientist .,a scientist was surprised by a champion .,a champion surprised a scientist .,a scientist was surprised by a champion .
an opponent grabbed a juice .,a juice was grabbed by an opponent .,an opponent grabbed a juice .,a juice was grabbed by an opponent .
a professor broke a key .,a key was broken by a professor .,a professor broke a key .,a key was broken by a professor .
a child hurried an adult .,an adult was hurried by a child .,a child hurried an adult .,an adult was hurried by a child .
a manager embraced a partner .,a partner was embraced by a manager .,a manager embraced a partner .,a partner was embraced by a manager .
a soldier surprised a sheriff .,a sheriff was surprised by a soldier .,a soldier surprised a sheriff .,a sheriff was surprised by a soldier .
a captain destroyed a pot .,a pot was destroyed by a captain .,a captain destroyed a pot .,a pot was destroyed by a captain .
an employee followed a cop .,a cop was followed by an employee .,an employee followed a cop .,a cop was followed by an employee .
the actress washes the pot .,the pot is washed by the actress .,the actress washes the pot .,the pot is washed by the actress .
the employee beats the manager .,the manager is beaten by the employee .,the employee beats the manager .,the manager is beaten by the employee .
the parent surprises the mother .,the mother is surprised by the parent .,the parent surprises the mother .,the mother is surprised by the parent .
the manager collects the cigarette .,the cigarette is collected by the manager .,the manager collects the cigarette .,the cigarette is collected by the manager .
the winner destroys the coat .,the coat is destroyed by the winner .,the winner destroys the coat .,the coat is destroyed by the winner .
the band uses the television .,the television is used by the band .,the band uses the television .,the television is used by the band .
the author strikes the mother .,the mother is struck by the author .,the author strikes the mother .,the mother is struck by the author .
the daughter describes the nurse .,the nurse is described by the daughter .,the daughter describes the nurse .,the nurse is described by the daughter .
the singer strikes the cop .,the cop is struck by the singer .,the singer strikes the cop .,the cop is struck by the singer .
the physician understands the doctor .,the doctor is understood by the physician .,the physician understands the doctor .,the doctor is understood by the physician .
a parent judges a buddy .,a buddy is judged by a parent .,a parent judges a buddy .,a buddy is judged by a parent .
a lady chases an author .,an author is chased by a lady .,a lady chases an author .,an author is chased by a lady .
a doctor leaves a box .,a box is left by a doctor .,a doctor leaves a box .,a box is left by a doctor .
a guy raises a coffee .,a coffee is raised by a guy .,a guy raises a coffee .,a coffee is raised by a guy .
a physician eats a cheese .,a cheese is eaten by a physician .,a physician eats a cheese .,a cheese is eaten by a physician .
a guest punches a chief .,a chief is punched by a guest .,a guest punches a chief .,a chief is punched by a guest .
a winner embraces a bishop .,a bishop is embraced by a winner .,a winner embraces a bishop .,a bishop is embraced by a winner .
a girl helps a captain .,a captain is helped by a girl .,a girl helps a captain .,a captain is helped by a girl .
a parent grabs a doctor .,a doctor is grabbed by a parent .,a parent grabs a doctor .,a doctor is grabbed by a parent .
an uncle punches a woman .,a woman is punched by an uncle .,an uncle punches a woman .,a woman is punched by an uncle .
the club wanted the candy .,the candy was wanted by the club .,the club wanted the candy .,the candy was wanted by the club .
the actress kissed the princess .,the princess was kissed by the actress .,the actress kissed the princess .,the princess was kissed by the actress .
the secretary carried the candy .,the candy was carried by the secretary .,the secretary carried the candy .,the candy was carried by the secretary .
the partner washed the button .,the button was washed by the partner .,the partner washed the button .,the button was washed by the partner .
the guy hurt the woman .,the woman was hurt by the guy .,the guy hurt the woman .,the woman was hurt by the guy .
the aunt comforted the kid .,the kid was comforted by the aunt .,the aunt comforted the kid .,the kid was comforted by the aunt .
the professor described the jacket .,the jacket was described by the professor .,the professor described the jacket .,the jacket was described by the professor .
the scientist prepared the pie .,the pie was prepared by the scientist .,the scientist prepared the pie .,the pie was prepared by the scientist .
the candidate tasted the cheese .,the cheese was tasted by the candidate .,the candidate tasted the cheese .,the cheese was tasted by the candidate .
the son caught the jacket .,the jacket was caught by the son .,the son caught the jacket .,the jacket was caught by the son .
an adult destroys a pot .,a pot is destroyed by an adult .,an adult destroys a pot .,a pot is destroyed by an adult .
a mayor punches a guest .,a guest is punched by a mayor .,a mayor punches a guest .,a guest is punched by a mayor .
a son selects a telephone .,a telephone is selected by a son .,a son selects a telephone .,a telephone is selected by a son .
a manager embraces a physician .,a physician is embraced by a manager .,a manager embraces a physician .,a physician is embraced by a manager .
a writer washes a husband .,a husband is washed by a writer .,a writer washes a husband .,a husband is washed by a writer .
a nurse chases a business .,a business is chased by a nurse .,a nurse chases a business .,a business is chased by a nurse .
a parent selects a newspaper .,a newspaper is selected by a parent .,a parent selects a newspaper .,a newspaper is selected by a parent .
an attorney destroys a beer .,a beer is destroyed by an attorney .,an attorney destroys a beer .,a beer is destroyed by an attorney .
a student kills a mother .,a mother is killed by a student .,a student kills a mother .,a mother is killed by a student .
a worker uses an iron .,an iron is used by a worker .,a worker uses an iron .,an iron is used by a worker .
a priest hurries a daughter .,a daughter is hurried by a priest .,a priest hurries a daughter .,a daughter is hurried by a priest .
a chief drinks a coffee .,a coffee is drunk by a chief .,a chief drinks a coffee .,a coffee is drunk by a chief .
a king protects an employee .,an employee is protected by a king .,a king protects an employee .,an employee is protected by a king .
a nurse washes a soldier .,a soldier is washed by a nurse .,a nurse washes a soldier .,a soldier is washed by a nurse .
an opponent strikes a cop .,a cop is struck by an opponent .,an opponent strikes a cop .,a cop is struck by an opponent .
a minister selects a glass .,a glass is selected by a minister .,a minister selects a glass .,a glass is selected by a minister .
a man breaks a bag .,a bag is broken by a man .,a man breaks a bag .,a bag is broken by a man .
an adult breaks a ball .,a ball is broken by an adult .,an adult breaks a ball .,a ball is broken by an adult .
a lawyer kills a guest .,a guest is killed by a lawyer .,a lawyer kills a guest .,a guest is killed by a lawyer .
a cousin accepts a knife .,a knife is accepted by a cousin .,a cousin accepts a knife .,a knife is accepted by a cousin .
the army keeps the coffee .,the coffee is kept by the army .,the army keeps the coffee .,the coffee is kept by the army .
the secretary smells the knife .,the knife is smelled by the secretary .,the secretary smells the knife .,the knife is smelled by the secretary .
the candidate keeps the chocolate .,the chocolate is kept by the candidate .,the candidate keeps the chocolate .,the chocolate is kept by the candidate .
the woman destroys the candy .,the candy is destroyed by the woman .,the woman destroys the candy .,the candy is destroyed by the woman .
the writer bothers the husband .,the husband is bothered by the writer .,the writer bothers the husband .,the husband is bothered by the writer .
the kid breaks the crystal .,the crystal is broken by the kid .,the kid breaks the crystal .,the crystal is broken by the kid .
the nurse discovers the book .,the book is discovered by the nurse .,the nurse discovers the book .,the book is discovered by the nurse .
the pilot prepares the tea .,the tea is prepared by the pilot .,the pilot prepares the tea .,the tea is prepared by the pilot .
the cousin wraps the guitar .,the guitar is wrapped by the cousin .,the cousin wraps the guitar .,the guitar is wrapped by the cousin .
the scientist drags the crystal .,the crystal is dragged by the scientist .,the scientist drags the crystal .,the crystal is dragged by the scientist .
the writer helped the candidate .,the candidate was helped by the writer .,the writer helped the candidate .,the candidate was helped by the writer .
the leader drank the beer .,the beer was drunk by the leader .,the leader drank the beer .,the beer was drunk by the leader .
the cop understood the pilot .,the pilot was understood by the cop .,the cop understood the pilot .,the pilot was understood by the cop .
the nurse prepared the juice .,the juice was prepared by the nurse .,the nurse prepared the juice .,the juice was prepared by the nurse .
the lady smelled the tea .,the tea was smelled by the lady .,the lady smelled the tea .,the tea was smelled by the lady .
the author comforted the princess .,the princess was comforted by the author .,the author comforted the princess .,the princess was comforted by the author .
the professor struck the attorney .,the attorney was struck by the professor .,the professor struck the attorney .,the attorney was struck by the professor .
the doctor collected the juice .,the juice was collected by the doctor .,the doctor collected the juice .,the juice was collected by the doctor .
the candidate struck the husband .,the husband was struck by the candidate .,the candidate struck the husband .,the husband was struck by the candidate .
the captain accepted the button .,the button was accepted by the captain .,the captain accepted the button .,the button was accepted by the captain .
the boy forgot the pie .,the pie was forgotten by the boy .,the boy forgot the pie .,the pie was forgotten by the boy .
the son led the corporation .,the corporation was led by the son .,the son led the corporation .,the corporation was led by the son .
the father surprised the uncle .,the uncle was surprised by the father .,the father surprised the uncle .,the uncle was surprised by the father .
the author removed the telephone .,the telephone was removed by the author .,the author removed the telephone .,the telephone was removed by the author .
the author protected the adult .,the adult was protected by the author .,the author protected the adult .,the adult was protected by the author .
the brother embraced the mayor .,the mayor was embraced by the brother .,the brother embraced the mayor .,the mayor was embraced by the brother .
the son killed the sheriff .,the sheriff was killed by the son .,the son killed the sheriff .,the sheriff was killed by the son .
the father kissed the prince .,the prince was kissed by the father .,the father kissed the prince .,the prince was kissed by the father .
the princess comforted the writer .,the writer was comforted by the princess .,the princess comforted the writer .,the writer was comforted by the princess .
the hero selected the bottle .,the bottle was selected by the hero .,the hero selected the bottle .,the bottle was selected by the hero .
the employee selected the minister .,the minister was selected by the employee .,the employee selected the minister .,the minister was selected by the employee .
the lawyer beat the parent .,the parent was beaten by the lawyer .,the lawyer beat the parent .,the parent was beaten by the lawyer .
the lawyer judged the band .,the band was judged by the lawyer .,the lawyer judged the band .,the band was judged by the lawyer .
the opponent embraced the parent .,the parent was embraced by the opponent .,the opponent embraced the parent .,the parent was embraced by the opponent .
the reader followed the club .,the club was followed by the reader .,the reader followed the club .,the club was followed by the reader .
the guest forgave the administration .,the administration was forgiven by the guest .,the guest forgave the administration .,the administration was forgiven by the guest .
the daughter used the cup .,the cup was used by the daughter .,the daughter used the cup .,the cup was used by the daughter .
the daughter killed the colonel .,the colonel was killed by the daughter .,the daughter killed the colonel .,the colonel was killed by the daughter .
the cop chased the club .,the club was chased by the cop .,the cop chased the club .,the club was chased by the cop .
the mayor caught the anchor .,the anchor was caught by the mayor .,the mayor caught the anchor .,the anchor was caught by the mayor .
the writer washed the chief .,the chief was washed by the writer .,the writer washed the chief .,the chief was washed by the writer .
the friend hurt the army .,the army was hurt by the friend .,the friend hurt the army .,the army was hurt by the friend .
the employer forgot the tea .,the tea was forgotten by the employer .,the employer forgot the tea .,the tea was forgotten by the employer .
the buddy wrapped the bowl .,the bowl was wrapped by the buddy .,the buddy wrapped the bowl .,the bowl was wrapped by the buddy .
the pilot discovered the beer .,the beer was discovered by the pilot .,the pilot discovered the beer .,the beer was discovered by the pilot .
the aunt struck the opponent .,the opponent was struck by the aunt .,the aunt struck the opponent .,the opponent was struck by the aunt .
the priest caught the glass .,the glass was caught by the priest .,the priest caught the glass .,the glass was caught by the priest .
the secretary surprised the bishop .,the bishop was surprised by the secretary .,the secretary surprised the bishop .,the bishop was surprised by the secretary .
the club kept the beer .,the beer was kept by the club .,the club kept the beer .,the beer was kept by the club .
the physician asked the opponent .,the opponent was asked by the physician .,the physician asked the opponent .,the opponent was asked by the physician .
a kid carried a candidate .,a candidate was carried by a kid .,a kid carried a candidate .,a candidate was carried by a kid .
a father forgot a plate .,a plate was forgotten by a father .,a father forgot a plate .,a plate was forgotten by a father .
a student chased a father .,a father was chased by a student .,a student chased a father .,a father was chased by a student .
an author beat a priest .,a priest was beaten by an author .,an author beat a priest .,a priest was beaten by an author .
a husband carried a knife .,a knife was carried by a husband .,a husband carried a knife .,a knife was carried by a husband .
a prince broke a book .,a book was broken by a prince .,a prince broke a book .,a book was broken by a prince .
a mayor tasted a pie .,a pie was tasted by a mayor .,a mayor tasted a pie .,a pie was tasted by a mayor .
a colonel left a cigarette .,a cigarette was left by a colonel .,a colonel left a cigarette .,a cigarette was left by a colonel .
an uncle taught an actress .,an actress was taught by an uncle .,an uncle taught an actress .,an actress was taught by an uncle .
an administration kept a juice .,a juice was kept by an administration .,an administration kept a juice .,a juice was kept by an administration .
the bishop broke the camera .,the camera was broken by the bishop .,the bishop broke the camera .,the camera was broken by the bishop .
the lady beat the attorney .,the attorney was beaten by the lady .,the lady beat the attorney .,the attorney was beaten by the lady .
the son hurried the king .,the king was hurried by the son .,the son hurried the king .,the king was hurried by the son .
the lawyer wrapped the ball .,the ball was wrapped by the lawyer .,the lawyer wrapped the ball .,the ball was wrapped by the lawyer .
the opponent led the club .,the club was led by the opponent .,the opponent led the club .,the club was led by the opponent .
the worker chased the attorney .,the attorney was chased by the worker .,the worker chased the attorney .,the attorney was chased by the worker .
the president drank the coffee .,the coffee was drunk by the president .,the president drank the coffee .,the coffee was drunk by the president .
the captain discovered the hat .,the hat was discovered by the captain .,the captain discovered the hat .,the hat was discovered by the captain .
the champion drank the tea .,the tea was drunk by the champion .,the champion drank the tea .,the tea was drunk by the champion .
the reader judged the business .,the business was judged by the reader .,the reader judged the business .,the business was judged by the reader .
the band purchases the salad .,the salad is purchased by the band .,the band purchases the salad .,the salad is purchased by the band .
the mayor accepts the glass .,the glass is accepted by the mayor .,the mayor accepts the glass .,the glass is accepted by the mayor .
